GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 2300
Time period: 2025-09-08 15:34:54 to 2025-09-08 16:31:00

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
--------------------------------------------------------------------------------
15:34:54 |  200.8/+22.6 |  107.7/+18.8 |  +93.1/ +3.8 | +80/ +2
15:34:56 |  207.0/+22.8 |  160.0/+18.8 |  +47.0/ +4.0 | +41/ +2
15:34:58 |  241.6/+22.2 |  160.2/+18.8 |  +81.4/ +3.4 | +72/ +2
15:35:02 |  349.3/+21.9 |  113.9/+18.8 | -124.6/ +3.1 | -80/ +2
15:35:04 |  359.8/+22.1 |    3.2/+18.8 |   -3.4/ +3.3 |  -2/ +2
15:35:06 |    2.5/+22.4 |    3.4/+18.8 |   -0.9/ +3.6 |  +0/ +2
15:35:08 |    3.0/+22.6 |    3.5/+18.8 |   -0.5/ +3.8 |  +0/ +2
15:35:10 |    2.8/+22.9 |    4.0/+18.8 |   -1.2/ +4.1 |  -2/ +2
15:35:12 |    2.3/+23.2 |    4.4/+18.8 |   -2.1/ +4.4 |  -2/ -1
15:35:14 |    1.9/+23.4 |    4.9/+18.8 |   -3.0/ +4.6 |  -2/ -1
15:35:16 |    1.7/+23.7 |    5.1/+18.8 |   -3.4/ +4.9 |  -2/ -1
15:35:18 |    1.7/+23.9 |    5.3/+18.8 |   -3.6/ +5.1 |  -2/ -1
15:35:20 |    1.9/+24.2 |    5.3/+18.8 |   -3.4/ +5.4 |  -2/ -2
15:35:22 |    1.8/+24.4 |    5.3/+18.8 |   -3.5/ +5.6 |  -2/ -2
15:35:24 |    2.2/+24.8 |    5.3/+18.8 |   -3.1/ +6.0 |  -2/ -3
15:35:26 |    3.3/+25.5 |    5.2/+18.8 |   -1.9/ +6.7 |  -2/ -4
15:35:28 |    3.2/+26.7 |    5.2/+18.8 |   -2.0/ +7.9 |  -2/ -4
15:35:30 |    2.4/+27.7 |    5.2/+19.7 |   -2.8/ +8.0 |  -2/ -5
15:35:32 |    1.1/+28.8 |    5.3/+21.0 |   -4.2/ +7.8 |  -2/ -4
15:35:34 |  359.7/+29.8 |    5.5/+21.9 |   -5.8/ +7.9 |  -2/ -4
