GIMBAL LOG ANALYSIS REPORT
==================================================

Commands analyzed: 3158
Time period: 2025-09-16 10:26:15 to 2025-09-16 10:32:19

SAMPLE COMMANDS (every 10th entry):
Time          | Target Y/P    | Current Y/P   | Error Y/P     | Speed Y/P
--------------------------------------------------------------------------------
10:26:15 |  302.4/ -3.0 |  326.3/ -0.1 |  -23.9/ -2.9 | -30/ +3
10:26:16 |  323.8/ -3.2 |  312.7/ -0.1 |  +11.1/ -3.1 | +24/ +2
10:26:17 |  342.4/ -3.5 |  336.0/ -0.1 |   +6.4/ -3.4 |  +8/ +3
10:26:18 |  354.1/ -3.8 |  349.3/ -0.1 |   +4.8/ -3.7 |  +9/ +2
10:26:19 |  358.6/ -4.0 |  354.0/ -0.1 |   +4.6/ -3.9 |  +8/ +3
10:26:20 |    1.0/ -4.3 |  357.6/ -0.1 |   +3.4/ -4.2 |  +4/ +3
10:26:21 |    2.8/ -4.5 |  359.3/ -0.1 |   +3.5/ -4.4 |  +4/ +4
10:26:22 |    3.3/ -4.7 |  359.6/ -0.1 |   +3.7/ -4.6 |  +5/ +4
10:26:23 |    3.5/ -5.0 |    0.1/ -0.6 |   +3.4/ -4.4 |  +4/ +4
10:26:24 |    3.3/ -5.3 |    0.2/ -0.7 |   +3.1/ -4.6 |  +3/ +4
10:26:25 |    3.1/ -5.5 |    0.3/ -1.1 |   +2.8/ -4.4 |  +2/ +4
10:26:26 |    2.7/ -5.7 |    0.4/ -1.1 |   +2.3/ -4.6 |  +1/ +4
10:26:27 |    2.4/ -6.0 |    0.4/ -1.5 |   +2.0/ -4.5 |  +3/ +4
10:26:28 |    2.0/ -6.1 |    0.5/ -1.6 |   +1.5/ -4.5 |  +1/ +4
10:26:29 |    1.7/ -6.3 |    0.7/ -1.7 |   +1.0/ -4.6 |  +1/ +4
10:26:30 |    1.8/ -6.5 |    0.7/ -2.0 |   +1.1/ -4.5 |  +1/ +4
10:26:31 |    2.0/ -6.7 |    0.9/ -2.2 |   +1.1/ -4.5 |  +1/ +4
10:26:32 |    2.1/ -6.9 |    0.8/ -2.3 |   +1.3/ -4.6 |  +1/ +4
10:26:33 |    2.0/ -7.0 |    0.9/ -2.4 |   +1.1/ -4.6 |  +1/ +4
10:26:34 |    2.2/ -7.2 |    1.0/ -2.6 |   +1.2/ -4.6 |  +1/ +4
10:26:35 |    2.3/ -7.3 |    1.1/ -2.9 |   +1.2/ -4.4 |  +1/ +4
10:26:36 |    2.4/ -7.4 |    1.3/ -2.9 |   +1.1/ -4.5 |  +1/ +4
10:26:37 |    2.3/ -7.5 |    1.4/ -2.9 |   +0.9/ -4.6 |  +1/ +4
10:26:38 |    2.5/ -7.6 |    1.4/ -3.2 |   +1.1/ -4.4 |  +1/ +4
10:26:39 |    2.7/ -7.7 |    1.6/ -3.2 |   +1.1/ -4.5 |  +1/ +4
10:26:40 |    2.8/ -7.7 |    1.6/ -3.2 |   +1.2/ -4.5 |  +1/ +4
10:26:41 |    3.2/ -7.8 |    1.8/ -3.2 |   +1.4/ -4.6 |  +1/ +4
10:26:42 |    3.4/ -7.8 |    1.7/ -3.2 |   +1.7/ -4.6 |  +2/ +4
10:26:43 |    3.5/ -7.8 |    2.0/ -3.2 |   +1.5/ -4.6 |  +1/ +4
10:26:44 |    3.3/ -7.8 |    2.0/ -3.2 |   +1.3/ -4.6 |  +1/ +4
10:26:45 |    3.1/ -7.8 |    2.1/ -3.2 |   +1.0/ -4.6 |  +1/ +4
10:26:46 |    2.9/ -7.8 |    2.1/ -3.2 |   +0.8/ -4.6 |  +1/ +4
10:26:47 |    2.7/ -7.7 |    2.2/ -3.2 |   +0.5/ -4.5 |  +0/ +4
10:26:48 |    2.6/ -7.7 |    2.3/ -3.2 |   +0.3/ -4.5 |  +0/ +4
10:26:49 |    2.5/ -7.7 |    2.4/ -3.2 |   +0.1/ -4.5 |  +0/ +4
10:26:50 |    2.5/ -7.7 |    2.6/ -3.2 |   -0.1/ -4.5 |  +0/ +4
10:26:51 |    2.5/ -7.7 |    2.5/ -3.2 |   +0.0/ -4.5 |  +0/ +4
10:26:52 |    2.5/ -7.7 |    2.6/ -3.2 |   -0.1/ -4.5 |  +0/ +4
10:26:53 |    2.5/ -7.6 |    2.7/ -3.2 |   -0.2/ -4.4 |  +0/ +4
10:26:54 |    2.6/ -7.6 |    2.9/ -3.2 |   -0.3/ -4.4 |  +0/ +4
10:26:55 |    2.6/ -7.6 |    3.0/ -3.2 |   -0.4/ -4.4 |  +0/ +4
10:26:56 |    2.7/ -7.6 |    3.0/ -3.2 |   -0.3/ -4.4 |  +0/ +4
10:26:57 |    2.7/ -7.6 |    3.3/ -3.2 |   -0.6/ -4.4 |  -1/ +4
10:26:58 |    2.8/ -7.5 |    3.4/ -3.2 |   -0.6/ -4.3 |  -1/ +4
10:26:59 |    2.8/ -7.5 |    3.4/ -3.2 |   -0.6/ -4.3 |  -1/ +4
10:27:00 |    2.9/ -7.5 |    3.6/ -3.2 |   -0.7/ -4.3 |  -1/ +4
10:27:01 |    3.0/ -7.5 |    3.6/ -3.2 |   -0.6/ -4.3 |  -1/ +4
10:27:02 |    3.1/ -7.5 |    3.6/ -3.2 |   -0.5/ -4.3 |  +0/ +4
10:27:03 |    3.2/ -7.4 |    3.7/ -3.2 |   -0.5/ -4.2 |  -1/ +3
10:27:04 |    3.2/ -7.4 |    3.8/ -3.2 |   -0.6/ -4.2 |  -1/ +3
10:27:05 |    3.3/ -7.4 |    3.9/ -3.2 |   -0.6/ -4.2 |  -1/ +3
10:27:06 |    3.3/ -7.3 |    4.1/ -3.2 |   -0.8/ -4.1 |  -1/ +3
10:27:07 |    3.4/ -7.3 |    4.1/ -3.2 |   -0.7/ -4.1 |  -1/ +3
10:27:08 |    3.4/ -7.3 |    4.1/ -3.2 |   -0.7/ -4.1 |  -1/ +3
10:27:09 |    3.5/ -7.2 |    4.3/ -3.2 |   -0.8/ -4.0 |  -1/ +3
10:27:10 |    3.5/ -7.2 |    4.3/ -3.2 |   -0.8/ -4.0 |  -1/ +3
10:27:11 |    3.6/ -7.2 |    4.5/ -3.2 |   -0.9/ -4.0 |  -1/ +3
10:27:12 |    3.7/ -7.1 |    4.6/ -3.2 |   -0.9/ -3.9 |  -1/ +3
10:27:13 |    3.7/ -7.1 |    4.7/ -3.2 |   -1.0/ -3.9 |  -1/ +3
10:27:14 |    3.8/ -7.0 |    4.7/ -3.2 |   -0.9/ -3.8 |  -1/ +3
10:27:15 |    3.9/ -7.0 |    4.9/ -3.2 |   -1.0/ -3.8 |  -1/ +3
10:27:16 |    3.9/ -6.9 |    5.0/ -3.2 |   -1.1/ -3.7 |  -1/ +2
10:27:17 |    3.9/ -6.9 |    5.0/ -3.2 |   -1.1/ -3.7 |  -1/ +2
10:27:18 |    4.0/ -6.8 |    5.2/ -3.2 |   -1.2/ -3.6 |  -1/ +2
10:27:19 |    4.0/ -6.8 |    5.2/ -3.2 |   -1.2/ -3.6 |  -1/ +2
10:27:20 |    4.0/ -6.7 |    5.2/ -3.2 |   -1.2/ -3.5 |  -1/ +2
10:27:21 |    4.1/ -6.7 |    5.4/ -3.2 |   -1.3/ -3.5 |  -1/ +2
10:27:22 |    4.2/ -6.6 |    5.5/ -3.2 |   -1.3/ -3.4 |  -1/ +2
10:27:23 |    4.2/ -6.5 |    5.6/ -3.2 |   -1.4/ -3.3 |  -1/ +1
10:27:24 |    4.3/ -6.4 |    5.8/ -3.2 |   -1.5/ -3.2 |  -1/ +1
10:27:25 |    4.3/ -6.4 |    5.8/ -3.2 |   -1.5/ -3.2 |  -1/ +1
10:27:26 |    4.4/ -6.3 |    5.9/ -3.2 |   -1.5/ -3.1 |  -1/ +1
10:27:27 |    4.5/ -6.2 |    6.0/ -3.2 |   -1.5/ -3.0 |  -1/ +3
10:27:28 |    4.6/ -6.1 |    6.0/ -3.2 |   -1.4/ -2.9 |  -1/ +3
10:27:29 |    4.7/ -6.0 |    6.0/ -3.2 |   -1.3/ -2.8 |  -1/ +2
10:27:32 |    4.9/ -5.6 |    6.5/ -3.2 |   -1.6/ -2.4 |  -1/ +1
10:27:33 |    4.9/ -5.5 |    6.6/ -3.2 |   -1.7/ -2.3 |  -1/ +1
10:27:34 |    5.0/ -5.3 |    6.6/ -3.2 |   -1.6/ -2.1 |  -1/ +1
10:27:35 |    5.0/ -5.2 |    6.8/ -3.2 |   -1.8/ -2.0 |  -1/ -1
10:27:36 |    5.1/ -5.0 |    6.8/ -3.2 |   -1.7/ -1.8 |  -1/ -1
10:27:37 |    5.2/ -4.8 |    6.9/ -3.2 |   -1.7/ -1.6 |  -1/ -1
10:27:38 |    5.3/ -4.6 |    6.9/ -3.2 |   -1.6/ -1.4 |  -1/ -1
10:27:39 |    5.3/ -4.3 |    6.9/ -3.2 |   -1.6/ -1.1 |  -1/ -1
10:27:41 |    5.7/ -3.9 |    7.2/ -3.2 |   -1.5/ -0.7 |  -1/ -1
10:27:42 |   10.5/ -3.2 |    7.5/ -3.2 |   +3.0/ +0.0 |  +1/ +0
10:27:44 |   19.8/ -2.8 |   17.4/ -3.2 |   +2.4/ +0.4 |  +1/ +1
10:27:45 |   23.9/ -2.3 |   20.7/ -3.2 |   +3.2/ +0.9 |  +2/ -1
10:27:46 |   35.5/ -2.2 |   27.5/ -3.2 |   +8.0/ +1.0 | +14/ -2
10:27:47 |   46.9/ -2.3 |   39.8/ -3.2 |   +7.1/ +0.9 | +11/ -1
10:27:48 |   59.9/ -2.2 |   53.6/ -3.2 |   +6.3/ +1.0 |  +8/ -2
10:27:49 |   70.1/ -2.2 |   62.2/ -3.2 |   +7.9/ +1.0 | +13/ -2
10:27:50 |   78.4/ -2.2 |   73.0/ -3.2 |   +5.4/ +1.0 |  +6/ +1
10:27:51 |   86.4/ -2.1 |   78.8/ -3.2 |   +7.6/ +1.1 | +12/ +1
10:27:52 |   90.0/ -2.0 |   85.0/ -3.2 |   +5.0/ +1.2 |  +5/ -1
10:27:53 |   92.5/ -1.8 |   88.1/ -3.2 |   +4.4/ +1.4 |  +7/ +1
10:27:54 |   93.4/ -1.7 |   89.5/ -3.2 |   +3.9/ +1.5 |  +4/ +1
10:27:55 |   94.6/ -1.5 |   90.5/ -3.2 |   +4.1/ +1.7 |  +5/ -1
10:27:56 |   94.0/ -1.4 |   90.8/ -3.2 |   +3.2/ +1.8 |  +2/ -1
10:27:57 |   94.2/ -1.3 |   90.8/ -3.2 |   +3.4/ +1.9 |  +3/ -1
10:27:58 |   94.2/ -1.1 |   91.0/ -3.2 |   +3.2/ +2.1 |  +2/ -1
10:27:59 |   92.6/ -1.0 |   91.1/ -3.2 |   +1.5/ +2.2 |  +1/ -1
10:28:00 |   93.2/ -0.9 |   91.2/ -3.2 |   +2.0/ +2.3 |  +1/ -1
10:28:01 |   92.4/ -0.8 |   91.3/ -3.2 |   +1.1/ +2.4 |  +1/ -1
10:28:02 |   92.9/ -0.8 |   91.4/ -3.2 |   +1.5/ +2.4 |  +1/ -1
10:28:03 |   92.0/ -0.7 |   91.4/ -3.2 |   +0.6/ +2.5 |  +1/ -1
10:28:04 |   91.8/ -0.7 |   91.5/ -3.2 |   +0.3/ +2.5 |  +0/ -2
10:28:05 |   92.4/ -0.6 |   91.6/ -3.2 |   +0.8/ +2.6 |  +1/ -2
10:28:06 |   92.5/ -0.6 |   91.8/ -3.2 |   +0.7/ +2.6 |  +1/ -2
10:28:07 |   91.7/ -0.5 |   91.7/ -3.2 |   +0.0/ +2.7 |  +0/ -2
10:28:08 |   92.7/ -0.5 |   91.9/ -3.2 |   +0.8/ +2.7 |  +1/ -2
10:28:09 |   92.4/ -0.5 |   92.1/ -3.2 |   +0.3/ +2.7 |  +0/ -2
10:28:10 |   92.8/ -0.4 |   92.2/ -3.2 |   +0.6/ +2.8 |  +1/ -2
10:28:11 |   93.6/ -0.4 |   92.2/ -3.2 |   +1.4/ +2.8 |  +1/ -2
10:28:12 |   94.0/ -0.3 |   92.3/ -3.2 |   +1.7/ +2.9 |  +1/ -3
10:28:13 |   94.3/ -0.3 |   92.6/ -3.2 |   +1.7/ +2.9 |  +1/ -3
10:28:14 |   94.5/ -0.2 |   92.4/ -3.2 |   +2.1/ +3.0 |  +1/ -3
10:28:15 |   95.5/ -0.2 |   92.6/ -3.2 |   +2.9/ +3.0 |  +1/ -1
10:28:16 |   95.8/ -0.1 |   92.7/ -3.2 |   +3.1/ +3.1 |  +2/ -1
10:28:17 |   96.7/ -0.1 |   92.8/ -3.2 |   +3.9/ +3.1 |  +4/ -1
10:28:18 |   97.3/ -0.0 |   92.9/ -3.2 |   +4.4/ +3.2 |  +7/ -1
10:28:19 |   97.2/ +0.0 |   92.9/ -3.2 |   +4.3/ +3.2 |  +6/ -1
10:28:21 |   97.9/ +0.1 |   93.0/ -3.2 |   +4.9/ +3.3 |  +9/ -2
10:28:22 |   99.0/ +0.1 |   93.0/ -3.2 |   +6.0/ +3.3 |  +8/ -3
